N,Categoria,Titulo,Mensaje,Variante_corta,Cuando_enviarlo
1,Mensajes de bienvenida,Bienvenida general,"¡Hola! 👋 Gracias por escribir a [Tu Negocio]. Soy [tu nombre] y con gusto te ayudo. Cuéntame, ¿qué estás buscando hoy?","¡Hola! 👋 Gracias por escribir. Cuéntame, ¿en qué te ayudo?",Apenas un cliente nuevo escribe por primera vez.
2,Mensajes de bienvenida,Bienvenida desde un anuncio,¡Hola! 🙌 Veo que llegaste por nuestra publicación de [producto/oferta]. ¡Buena elección! ¿Te cuento los detalles?,¡Hola! 🙌 ¿Llegaste por el anuncio de [producto]? Te cuento los detalles 👇,Cuando el contacto viene de una publicidad o promoción puntual.
3,Mensajes de bienvenida,Bienvenida desde redes sociales,¡Hola! 😊 Qué bueno verte por aquí desde [Instagram/Facebook]. Gracias por escribir. ¿Qué te gustaría saber?,¡Hola! 😊 Gracias por escribirnos desde [red]. ¿Qué te gustaría saber?,Cuando el cliente llega desde un perfil o historia en redes.
4,Mensajes de bienvenida,Bienvenida fuera de horario,"¡Hola! 🙌 Gracias por escribir. En este momento estoy fuera de horario, pero apenas vuelva (a las [hora]) te respondo. Déjame tu consulta y la dejo lista 😊",¡Hola! Gracias por escribir 🙌 Te respondo apenas vuelva a las [hora]. Cuéntame qué necesitas.,Como respuesta automática cuando no puedes atender al momento.
5,Mensajes de bienvenida,Bienvenida que califica al cliente,"¡Hola! 👋 Gracias por tu mensaje. Para recomendarte lo mejor, ¿es para ti o para regalo? Así te oriento mejor 😊",¡Hola! 👋 ¿Es para ti o para regalo? Así te recomiendo mejor.,Cuando quieres entender la necesidad antes de ofrecer algo.
6,Mensajes de bienvenida,Bienvenida breve y cálida,¡Holaa! 😊 Qué gusto que escribas. Cuéntame en qué te puedo ayudar y vemos todo al toque.,¡Holaa! 😊 Cuéntame en qué te ayudo.,Para negocios de tono muy cercano e informal.
7,Mensajes de bienvenida,Bienvenida con beneficio destacado,"¡Hola! 🙌 Gracias por escribir a [Tu Negocio], donde [beneficio principal: ej. encuentras X con envío a todo el país]. ¿Qué estás buscando?",¡Hola! 🙌 En [Tu Negocio] encuentras [beneficio]. ¿Qué buscas?,Cuando quieres dejar clara tu propuesta de valor desde el inicio.
8,Mensajes de bienvenida,Bienvenida a un referido,¡Hola! 😊 Qué bueno que [nombre de quien refiere] te recomendara. Bienvenido/a. Cuéntame qué necesitas y te ayudo con todo gusto.,¡Hola! 😊 Bienvenido/a de parte de [referente]. ¿En qué te ayudo?,Cuando alguien llega recomendado por otro cliente.
9,Mensajes de bienvenida,Bienvenida con catálogo,"¡Hola! 👋 Gracias por escribir. Te dejo nuestro catálogo aquí 👉 [link/imagen]. Cualquier cosa que te guste, me dices y te paso los detalles 😊",¡Hola! 👋 Aquí va el catálogo 👉 [link]. ¿Algo te llamó la atención?,Cuando el cliente pide ver opciones o productos disponibles.
10,Mensajes de bienvenida,Bienvenida con respuesta rápida,"¡Hola! 🙌 Gracias por contactarnos. Ya recibí tu mensaje y en un momento te respondo personalmente. Mientras, cuéntame qué necesitas 😊","¡Hola! 🙌 Recibí tu mensaje, en un momento te respondo. Cuéntame qué necesitas.",Como auto-respuesta para que el cliente sepa que lo viste.
11,Mensajes de bienvenida,Bienvenida agradeciendo el interés,¡Hola! 😊 Gracias por interesarte en [producto/servicio]. Es de mis favoritos para recomendar. ¿Quieres que te cuente cómo funciona?,¡Hola! 😊 Gracias por tu interés en [producto]. ¿Te cuento cómo funciona?,Cuando el cliente menciona un producto específico al escribir.
12,Mensajes de bienvenida,Bienvenida personalizada por nombre,"¡Hola [nombre]! 👋 Qué gusto saludarte. Gracias por escribir a [Tu Negocio]. Cuéntame, ¿en qué te puedo ayudar hoy?",¡Hola [nombre]! 👋 ¿En qué te ayudo hoy?,Cuando ya conoces el nombre del cliente (por su perfil o contacto).
13,Mensajes de bienvenida,Bienvenida con promoción vigente,¡Hola! 🙌 Llegaste en buen momento: esta semana tenemos [promoción]. Cuéntame qué buscas y vemos cómo aprovecharla 😊,¡Hola! 🙌 Esta semana hay [promoción]. ¿Qué estás buscando?,Cuando tienes una oferta activa que quieres comunicar de entrada.
14,Mensajes de bienvenida,Bienvenida que dirige a la información,"¡Hola! 😊 Gracias por escribir. Para ayudarte rápido: ¿quieres ver precios, conocer el producto o coordinar una compra? Dime y vamos al grano 🙌","¡Hola! 😊 ¿Quieres ver precios, conocer el producto o comprar? Dime y vamos 🙌",Cuando recibes muchos mensajes y quieres ordenar la conversación.
15,Mensajes de bienvenida,Bienvenida a un cliente que vuelve,"¡Hola de nuevo! 😊 Qué bueno tenerte por acá otra vez. Gracias por la confianza. Cuéntame, ¿en qué te ayudo esta vez?",¡Hola de nuevo! 😊 Qué bueno tenerte de vuelta. ¿En qué te ayudo?,Cuando reconoces a alguien que ya te había comprado o consultado.
16,Respuestas a consultas iniciales,"Responder ""¿qué venden?""",¡Hola! 😊 En [Tu Negocio] nos especializamos en [productos/servicios]. Cuéntame qué necesitas y te muestro las mejores opciones para ti 🙌,¡Hola! 😊 Vendemos [productos]. ¿Qué estás buscando?,Cuando el cliente pregunta de forma general qué ofreces.
17,Respuestas a consultas iniciales,Confirmar disponibilidad / stock,"¡Hola! 🙌 Sí, tengo disponible el [producto] que buscas. ¿Lo quieres en [color/talla/variante] o te muestro las opciones?","¡Sí, está disponible! 🙌 ¿En qué [color/talla] lo quieres?",Cuando preguntan si tienes un producto en stock.
18,Respuestas a consultas iniciales,"Responder ""¿hacen envíos?""","¡Hola! 😊 Sí, hacemos envíos a [zonas]. El costo es [valor o 'gratis sobre $X'] y llega en [tiempo]. ¿A qué ciudad sería?","¡Sí, enviamos a [zonas]! 😊 ¿A qué ciudad sería?",Cuando consultan por envíos o despacho.
19,Respuestas a consultas iniciales,"Responder ""¿dónde están ubicados?""",¡Hola! 🙌 Estamos en [dirección/zona] y también vendemos online con envíos. ¿Prefieres pasar a vernos o coordinamos un envío?,¡Hola! 🙌 Estamos en [zona] y también enviamos. ¿Qué te acomoda más?,Cuando preguntan por tu ubicación o local físico.
20,Respuestas a consultas iniciales,Dar detalles del producto,"¡Claro! 😊 El [producto] incluye [característica 1], [característica 2] y [beneficio]. Es ideal si buscas [necesidad]. ¿Te paso fotos o precio?",¡Claro! El [producto] tiene [beneficios]. ¿Te paso fotos o precio?,Cuando piden más información sobre un producto puntual.
21,Respuestas a consultas iniciales,Explicar cómo funciona,"¡Buena pregunta! 🙌 Funciona así: [paso 1], luego [paso 2] y listo. Es muy simple. ¿Quieres que te lo explique con un ejemplo?",¡Te explico! 🙌 [Paso 1] y luego [paso 2]. ¿Te lo muestro con un ejemplo?,Cuando el cliente no entiende bien el producto o servicio.
22,Respuestas a consultas iniciales,Pedir contexto para asesorar,"¡Con gusto te ayudo! 😊 Para recomendarte lo ideal, cuéntame: ¿para qué lo necesitas y tienes alguna preferencia? Así afinamos la opción perfecta.",¡Con gusto! 😊 ¿Para qué lo necesitas? Así te recomiendo lo ideal.,Cuando necesitas más información para hacer una buena recomendación.
23,Respuestas a consultas iniciales,Responder cuando falta información,"¡Hola! 🙌 Para darte el dato exacto, ¿me cuentas [detalle que falta: ciudad / modelo / cantidad]? Así te respondo al toque 😊",¡Hola! 🙌 ¿Me dices [detalle que falta]? Así te respondo exacto.,Cuando la consulta es incompleta y necesitas un dato para responder.
24,Respuestas a consultas iniciales,Responder por color / talla / modelo,"¡Hola! 😊 Sí, lo tengo en [opciones disponibles]. El [opción] es el más pedido. ¿Cuál te gustaría?",¡Sí! Lo tengo en [opciones]. ¿Cuál prefieres?,Cuando preguntan por una variante específica.
25,Respuestas a consultas iniciales,Responder sobre originalidad / garantía,"¡Hola! 🙌 Sí, es 100% [original/nuevo] e incluye [garantía/respaldo]. Quiero que compres con total confianza. ¿Te cuento más?","¡Sí, es [original] con [garantía]! 🙌 Compra con confianza.",Cuando el cliente quiere asegurarse de la calidad o respaldo.
